true,pred
3.9929345,4.261839
3.6695044,3.6816838
3.7008705,3.7601779
3.6827438,3.7058723
3.6774807,3.7199225
3.9081368,3.8415549
3.7761366,3.8108933
3.681037,3.652242
3.7090938,3.6329052
3.697894,3.6626265
3.8490179,3.8136113
3.6651108,3.6723933
3.6915174,3.6270657
3.6710167,3.5283659
4.4462214,4.1066904
3.8324192,3.8859944
3.9821393,3.9739056
3.7450302,3.7435424
4.153305,4.137443
3.7526522,3.8308659
3.832216,3.759252
3.700302,3.725203
3.6772885,3.6814353
3.7099283,3.7228708
3.6656017,4.1574683
3.7285323,3.7212608
3.6645088,3.6098275
