true,pred
6.9142857,5.3907638
8.914286,5.409169
5.885714,5.409169
8.48,3.0597398
6.88,3.0597398
6.88,3.809619
16.4,8.676293
11.4,8.738658
11.3,8.295238
2.8,4.139783
2.84,2.8090076
2.96,3.1989636
1.8666667,6.99529
1.8666667,7.465138
1.6,7.4010305
4.285714,5.895565
4.3428574,5.895565
5.0857143,5.341683
4.4,12.759063
5.6,10.894207
4.857143,12.759063
2.95,2.9858224
3.35,2.4688067
3.15,2.8963754
8.0,7.563508
8.56,8.951998
7.2,8.951998
4.9333334,5.772683
4.866667,6.158452
5.6666665,5.899727
6.6666665,6.23431
6.266667,6.23431
6.5333333,6.1226315
10.08,6.7962976
8.32,7.243353
9.84,5.5779033
6.8,5.3110666
5.4666667,5.19977
5.2,5.4631305
18.72,9.660389
17.04,10.033298
18.96,9.518349
2.4666667,4.733802
2.5333333,4.068918
2.9333334,2.4688067
